Model Rating Score,API Model Name,Display Name,Fine Category,Is Free Tier,Requires Billing,Tier,RPM (Requests/Min),TPM (Tokens/Min),RPD (Requests/Day),Capabilities,Usage Description
9.3,deep-research-pro-preview-12-2025,Deep Research Pro Preview,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  500,"translation, realtime_fact_checking, google_maps, chat_dialog, code_completion, reasoning, google_search, text_generation, vision_screenshot_ocr",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.2,gemini-2.5-flash,Gemini 2.5 Flash,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  500,"translation, realtime_fact_checking, google_maps, chat_dialog, code_completion, reasoning, google_search, text_generation, vision_screenshot_ocr",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.2,gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  500,"translation, realtime_fact_checking, google_maps, chat_dialog, code_completion, reasoning, google_search, text_generation, vision_screenshot_ocr",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.2,gemini-3.1-flash-tts,Gemini 3.1 Flash TTS,🎙️ 語音合成與 TTS,YES,NO,Free tier,-,-,0 /  500,"translation, text_to_speech, code_completion, reasoning, voice_synthesis, text_generation, tts",專利語音合成模型 (TTS)，文字轉高擬真對話語音，不支援圖像或螢幕截圖輸入。
9.2,gemini-3.5-transcribe,Gemini 3.5 Transcribe,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  500,"realtime_fact_checking, google_maps, chat_dialog, google_search",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.2,gemini-3.5-transcribe,Gemini 3.5 Transcribe,⚡ 即時對話 (Live API),YES,NO,Free tier,0 /  3,0 /  10K,0 /  25,"low_latency_dialog, websocket_live, realtime_audio_video",專屬 WebSocket 協議低延遲即時對話 API，不相容標準 REST HTTP generateContent 呼叫。
9.2,gemini-2.5-flash,Gemini 2.5 Flash,👁️ 視覺與截圖辨識,YES,NO,Free tier,0 /  5,0 /  250K,0 /  20,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
9.2,gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,👁️ 視覺與截圖辨識,YES,NO,Free tier,0 /  10,0 /  250K,0 /  20,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
9.2,gemini-3.1-flash-tts,Gemini 3.1 Flash TTS,🎙️ 語音合成與 TTS,YES,NO,Free tier,0 /  3,0 /  10K,0 /  10,"translation, text_to_speech, code_completion, reasoning, voice_synthesis, text_generation, tts",專利語音合成模型 (TTS)，文字轉高擬真對話語音，不支援圖像或螢幕截圖輸入。
9.2,gemini-2.5-flash-native-audio,Gemini 2.5 Flash Native Audio Dialog,🎙️ 語音合成與 TTS,YES,NO,Free tier,0 / Unlimited,0 /  1M,0 / Unlimited,"translation, text_to_speech, code_completion, reasoning, voice_synthesis, text_generation, tts",專利語音合成模型 (TTS)，文字轉高擬真對話語音，不支援圖像或螢幕截圖輸入。
9.1,gemini-2.5-search-grounding,Gemini 2.5,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  1.5K,"realtime_fact_checking, google_maps, chat_dialog, google_search",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.1,default-search-grounding,Default,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  1.5K,"realtime_fact_checking, google_maps, chat_dialog, google_search",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
8.9,gemini-2.0-flash,Gemini 2 Flash,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  500,"translation, realtime_fact_checking, google_maps, chat_dialog, code_completion, reasoning, google_search, text_generation, vision_screenshot_ocr",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
8.9,gemini-2.5-flash-tts,Gemini 2.5 Flash TTS,🎙️ 語音合成與 TTS,YES,NO,Free tier,0 /  3,0 /  10K,0 /  10,"translation, text_to_speech, code_completion, reasoning, voice_synthesis, text_generation, tts",專利語音合成模型 (TTS)，文字轉高擬真對話語音，不支援圖像或螢幕截圖輸入。
8.8,gemini-2-search-grounding,Gemini 2,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  1.5K,"realtime_fact_checking, google_maps, chat_dialog, google_search",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
8.8,text-embedding-004,Gemini Embedding 1,🔍 向量檢索 (Embedding),YES,NO,Free tier,0 /  100,0 /  30K,0 /  1K,"semantic_search, text_embedding, rag_retrieval",文字向量化與語意檢索模型，專用於企業 RAG 知識庫與文件搜尋，不直接進行文字對話生成。
8.8,gemini-2.5-computer-use-preview-10-2025,Computer Use Preview,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  500,"google_maps, chat_dialog, vision_screenshot_ocr, google_search, realtime_fact_checking",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
8.8,antigravity-preview-05-2026,Antigravity,📝 文字與語言大模型,YES,NO,Free tier,0 /  60,0 /  100K,0 /  100,,通用或特定開發者專用 API 服務模型。
8.5,text-embedding-005,Gemini Embedding 2,🔍 向量檢索 (Embedding),YES,NO,Free tier,0 /  100,0 /  30K,0 /  1K,"semantic_search, text_embedding, rag_retrieval",文字向量化與語意檢索模型，專用於企業 RAG 知識庫與文件搜尋，不直接進行文字對話生成。
8.5,gemini-robotics-er-2-preview,Gemini Robotics ER 2 Preview,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  500,"realtime_fact_checking, google_maps, chat_dialog, google_search",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
8.5,gemini-robotics-er-2-preview,Gemini Robotics ER 2 Preview,📦 其他專用模型,YES,NO,Free tier,0 /  5,0 /  250K,0 /  20,,通用或特定開發者專用 API 服務模型。
8.3,gemma-4-26b-a4b-it,Gemma 4 26B,📝 文字與語言大模型,YES,NO,Free tier,0 /  30,0 /  16K,0 /  14.4K,,通用或特定開發者專用 API 服務模型。
8.3,gemma-4-31b-it,Gemma 4 31B,📝 文字與語言大模型,YES,NO,Free tier,0 /  30,0 /  16K,0 /  14.4K,,通用或特定開發者專用 API 服務模型。
8.3,gemini-robotics-er-1.6-preview,Gemini Robotics ER 1.6 Preview,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  500,"realtime_fact_checking, google_maps, chat_dialog, google_search",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
8.3,gemini-robotics-er-1.6-preview,Gemini Robotics ER 1.6 Preview,📦 其他專用模型,YES,NO,Free tier,0 /  5,0 /  250K,0 /  20,,通用或特定開發者專用 API 服務模型。
9.8,gemini-3.7-flash,Gemini 3.7 Flash,🌐 實時網路搜尋與地圖引註,NO,YES,Free tier,-,-,0 /  0,"translation, realtime_fact_checking, google_maps, chat_dialog, code_completion, reasoning, google_search, text_generation, vision_screenshot_ocr",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.7,gemini-3.1-pro,Gemini 3.1 Pro,👁️ 視覺與截圖辨識,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
9.7,gemini-3.1-pro,Gemini 3.1 Pro,🌐 實時網路搜尋與地圖引註,NO,YES,Free tier,-,-,0 /  0,"translation, realtime_fact_checking, google_maps, chat_dialog, code_completion, reasoning, google_search, text_generation, vision_screenshot_ocr",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.7,gemini-3.6-flash,Gemini 3.6 Flash,🌐 實時網路搜尋與地圖引註,NO,YES,Free tier,-,-,0 /  0,"translation, realtime_fact_checking, google_maps, chat_dialog, code_completion, reasoning, google_search, text_generation, vision_screenshot_ocr",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.6,nano-banana-pro-(gemini-3-pro-image),Nano Banana Pro (Gemini 3 Pro Image),🎨 圖像與影音生成,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, image_generation, code_completion, reasoning, video_generation, text_generation",文字生成高畫質圖片與短影片 (Imagen / Veo)。⚠️ 需在 GCP 專案繫結信用卡結算帳戶。
9.6,lyria-3-pro,Lyria 3 Pro,🎙️ 語音合成與 TTS,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, text_to_speech, code_completion, reasoning, voice_synthesis, text_generation, tts",專利語音合成模型 (TTS)，文字轉高擬真對話語音，不支援圖像或螢幕截圖輸入。
9.4,gemini-3.0-flash,Gemini 3 Flash,🌐 實時網路搜尋與地圖引註,NO,YES,Free tier,-,-,0 /  0,"translation, realtime_fact_checking, google_maps, chat_dialog, code_completion, reasoning, google_search, text_generation, vision_screenshot_ocr",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.3,deep-research-pro-preview-12-2025,Deep Research Pro Preview,👁️ 視覺與截圖辨識,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
9.3,gemini-2.5-pro,Gemini 2.5 Pro,👁️ 視覺與截圖辨識,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
9.3,gemini-2.5-pro,Gemini 2.5 Pro TTS,🎙️ 語音合成與 TTS,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, text_to_speech, code_completion, reasoning, voice_synthesis, text_generation, tts",專利語音合成模型 (TTS)，文字轉高擬真對話語音，不支援圖像或螢幕截圖輸入。
9.3,gemini-2.5-pro,Gemini 2.5 Pro,🌐 實時網路搜尋與地圖引註,NO,YES,Free tier,-,-,0 /  0,"translation, realtime_fact_checking, google_maps, chat_dialog, code_completion, reasoning, google_search, text_generation, vision_screenshot_ocr",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.3,gemini-3-search-grounding,Gemini 3,🌐 實時網路搜尋與地圖引註,NO,YES,Free tier,-,-,0 /  0,"realtime_fact_checking, google_maps, chat_dialog, google_search",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.2,gemini-2.5-flash,Nano Banana (Gemini 2.5 Flash Preview Image),🎨 圖像與影音生成,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, image_generation, code_completion, reasoning, video_generation, text_generation",文字生成高畫質圖片與短影片 (Imagen / Veo)。⚠️ 需在 GCP 專案繫結信用卡結算帳戶。
9.2,gemini-omni-flash,Gemini Omni Flash,👁️ 視覺與截圖辨識,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
9.0,lyria-3-clip,Lyria 3 Clip,🎙️ 語音合成與 TTS,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"text_to_speech, voice_synthesis, tts",專利語音合成模型 (TTS)，文字轉高擬真對話語音，不支援圖像或螢幕截圖輸入。
9.0,veo-3.0-fast-generate,Veo 3 Fast Generate,🎨 圖像與影音生成,NO,YES,Free tier,0 /  0,-,0 /  0,"image_generation, video_generation",文字生成高畫質圖片與短影片 (Imagen / Veo)。⚠️ 需在 GCP 專案繫結信用卡結算帳戶。
9.0,veo-3.0-generate,Veo 3 Generate,🎨 圖像與影音生成,NO,YES,Free tier,0 /  0,-,0 /  0,"image_generation, video_generation",文字生成高畫質圖片與短影片 (Imagen / Veo)。⚠️ 需在 GCP 專案繫結信用卡結算帳戶。
8.9,gemini-2.0-flash,Gemini 2 Flash,👁️ 視覺與截圖辨識,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
8.9,gemini-2.0-flash-lite,Gemini 2 Flash Lite,👁️ 視覺與截圖辨識,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
8.9,nano-banana-2-(gemini-3.1-flash-image),Nano Banana 2 (Gemini 3.1 Flash Image),🎨 圖像與影音生成,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, image_generation, code_completion, reasoning, video_generation, text_generation",文字生成高畫質圖片與短影片 (Imagen / Veo)。⚠️ 需在 GCP 專案繫結信用卡結算帳戶。
8.9,gemini-3.1-flash-lite,Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image),🎨 圖像與影音生成,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, image_generation, code_completion, reasoning, video_generation, text_generation",文字生成高畫質圖片與短影片 (Imagen / Veo)。⚠️ 需在 GCP 專案繫結信用卡結算帳戶。
8.8,gemini-2.5-computer-use-preview-10-2025,Computer Use Preview,👁️ 視覺與截圖辨識,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,vision_screenshot_ocr,原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
8.7,veo-3.0-lite-generate,Veo 3 Lite Generate,🎨 圖像與影音生成,NO,YES,Free tier,0 /  0,-,0 /  0,"image_generation, video_generation",文字生成高畫質圖片與短影片 (Imagen / Veo)。⚠️ 需在 GCP 專案繫結信用卡結算帳戶。
8.5,gemini-omni-1.1-flash,Gemini Omni 1.1 Flash,👁️ 視覺與截圖辨識,NO,YES,Free tier,0 /  0,0 /  0,0 /  0,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
